Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
5.25333e+09,Inductance,1.12942e-08,5.94283e-10,1.12942e-08
5.25333e+09,Conductance,0.00186313,-9.84083e-05,0.00186313
5.25333e+09,Capacitance,2.82235e-12,-1.49037e-13,2.82235e-12
5.32667e+09,Resistance,2.39056,0.0554116,2.39056
5.32667e+09,Inductance,1.12937e-08,5.94238e-10,1.12937e-08
5.32667e+09,Conductance,0.00188932,-9.96693e-05,0.00188932
5.32667e+09,Capacitance,2.82234e-12,-1.49028e-13,2.82234e-12
5.4e+09,Resistance,2.40617,0.0554771,2.40617
5.4e+09,Inductance,1.12932e-08,5.94237e-10,1.12932e-08
5.4e+09,Conductance,0.00191549,-0.00010098,0.00191549
5.4e+09,Capacitance,2.82235e-12,-1.49032e-13,2.82235e-12
5.47333e+09,Resistance,2.42219,0.0562799,2.42219
5.47333e+09,Inductance,1.12928e-08,5.94259e-10,1.12928e-08
5.47333e+09,Conductance,0.00194155,-0.000102487,0.00194155
5.47333e+09,Capacitance,2.82234e-12,-1.4904e-13,2.82234e-12
5.54667e+09,Resistance,2.43791,0.0568853,2.43791
5.54667e+09,Inductance,1.12923e-08,5.94212e-10,1.12923e-08
5.54667e+09,Conductance,0.00196765,-0.000103907,0.00196765
5.54667e+09,Capacitance,2.82234e-12,-1.4903e-13,2.82234e-12
5.62e+09,Resistance,2.45765,0.0575061,2.45765
5.62e+09,Inductance,1.12918e-08,5.94212e-10,1.12918e-08
5.62e+09,Conductance,0.00199275,-0.000105245,0.00199275
5.62e+09,Capacitance,2.82236e-12,-1.49034e-13,2.82236e-12
5.69333e+09,Resistance,2.47367,0.0573021,2.47367
5.69333e+09,Inductance,1.12914e-08,5.94184e-10,1.12914e-08
5.69333e+09,Conductance,0.00201869,-0.000106462,0.00201869
5.69333e+09,Capacitance,2.82235e-12,-1.49029e-13,2.82235e-12
5.76667e+09,Resistance,2.48732,0.0590718,2.48732
5.76667e+09,Inductance,1.12909e-08,5.94167e-10,1.12909e-08
5.76667e+09,Conductance,0.00204524,-0.000108234,0.00204524
5.76667e+09,Capacitance,2.82235e-12,-1.49027e-13,2.82235e-12
